Module                  Size  Used by
snd                   143360  21 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
bluetooth            1032192  42 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
ttm                   110592  2 drm_ttm_helper,i915
mei                   176128  5 mei_hdcp,mei_pxp,mei_me
cfg80211             1400832  3 iwlmvm,iwlwifi,mac80211
soundcore              16384  1 snd
clevo_acpi             20480  0
rc_core                73728  1 cec
i2c_algo_bit           16384  1 i915
intel_pch_thermal      20480  0
tuxedo_io              24576  0
tuxedo_keyboard       106496  3 clevo_acpi,tuxedo_io,clevo_wmi
intel_pmc_core        118784  0
tuxedo_compatibility_check    12288  1 tuxedo_keyboard
intel_vsec             20480  1 intel_pmc_core
pmt_telemetry          16384  1 intel_pmc_core
intel_hid              24576  0
led_class_multicolor    16384  1 tuxedo_keyboard
pmt_class              16384  1 pmt_telemetry
sparse_keymap          12288  2 intel_hid,tuxedo_keyboard
acpi_pad              184320  0
input_leds             12288  0
joydev                 32768  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  3 nft_compat,nf_tables
dmi_sysfs              24576  0
ip_tables              36864  0
x_tables               65536  7 xt_conntrack,nft_compat,xt_tcpudp,xt_CHECKSUM,ipt_REJECT,ip_tables,xt_MASQUERADE
autofs4                57344  2
btrfs                2113536  0
blake2b_generic        24576  0
xor                    20480  1 btrfs
raid6_pq              126976  1 btrfs
libcrc32c              12288  4 nf_conntrack,nf_nat,btrfs,nf_tables
hid_logitech_hidpp     65536  0
hid_logitech_dj        36864  0
usbhid                 77824  2 hid_logitech_dj,hid_logitech_hidpp
hid_multitouch         36864  0
hid_generic            12288  0
crct10dif_pclmul       12288  1
crc32_pclmul           12288  0
rtsx_pci_sdmmc         36864  0
polyval_clmulni        12288  0
polyval_generic        12288  1 polyval_clmulni
ghash_clmulni_intel    16384  0
sha256_ssse3           32768  0
psmouse               221184  0
sha1_ssse3             32768  0
i2c_hid_acpi           12288  0
intel_lpss_pci         28672  0
r8169                 126976  0
rtsx_pci              143360  1 rtsx_pci_sdmmc
video                  77824  2 i915,nvidia_modeset
i2c_hid                40960  1 i2c_hid_acpi
realtek                45056  1
ahci                   49152  3
intel_lpss             12288  1 intel_lpss_pci
xhci_pci               24576  0
libahci                53248  1 ahci
idma64                 20480  0
hid                   266240  6 i2c_hid,usbhid,hid_multitouch,hid_generic,hid_logitech_dj,hid_logitech_hidpp
xhci_pci_renesas       24576  1 xhci_pci
wmi                    28672  4 video,intel_wmi_thunderbolt,clevo_wmi,mxm_wmi
pinctrl_cannonlake     36864  1
aesni_intel           122880  6
crypto_simd            16384  1 aesni_intel
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
